vehicle_id,title,description,url,make,model,year,mileage.value,mileage.unit,image[0].url,image[0].tag[0],transmission,fuel_type,body_style,drivetrain,vin,condition,price,address,exterior_color,sale_price,availability,state_of_vehicle,latitude,longitude,custom_label_0
64032,ŠKODA FABIA COMBI CLASSIC,Oferta leasingu online,https://sklep.skoda-auto.pl/skoda-fabia-combi-classic-1-0-tsi-95km-szary-quarz-metalizowany-tmbjp6nj1nz011743.html,ŠKODA,FABIA COMBI CLASSIC,2021,1,KM,https://sklep.skoda-auto.pl/media/catalog/product/cache/779e34063ea37c481ddb6652b1f2b61e/e/9/e9aa6368c3258462b5cb7a161a0ba9d7-TMBJP6NJ1NZ011743-EF.png,WAGON,MANUAL,GASOLINE,WAGON,FWD,TMBJP6NJ1NZ011743,EXCELLENT,68500 PLN,"{addr1: 'Toruńska 169', city: 'Włocławek', region: 'Silesian Voivodeship', postal_code: '87-800', country: 'Poland'}",Szary Quarz Metalizowany,716.70 PLN,AVAILABLE,NEW,52.689676,18.987797,1.0 TSI 95 KM
64151,ŠKODA FABIA COMBI CLASSIC,Oferta leasingu online,https://sklep.skoda-auto.pl/skoda-fabia-combi-classic-1-0-tsi-95km-blekit-race-metalizowany-tmbjp6nj0nz012513.html,ŠKODA,FABIA COMBI CLASSIC,2021,1,KM,https://sklep.skoda-auto.pl/media/catalog/product/cache/779e34063ea37c481ddb6652b1f2b61e/1/c/1c514a0dd1eedb81266d27ad5055082e-TMBJP6NJ0NZ012513-EF.png,WAGON,MANUAL,GASOLINE,WAGON,FWD,TMBJP6NJ0NZ012513,EXCELLENT,69100 PLN,"{addr1: 'Toruńska 169', city: 'Włocławek', region: 'Silesian Voivodeship', postal_code: '87-800', country: 'Poland'}",Błękit Race Metalizowany,722.97 PLN,AVAILABLE,NEW,52.689676,18.987797,1.0 TSI 95 KM
